artist,album,num_songs
Drake,No Mercy (Deluxe Version),1
Dave,Third Avenue,1
Kendrick Lamar,Who You Mad At? Me Or Yourself?,1
Kanye West,The Abstract and The Dragon,1
Lil Wayne,KHALED KHALED,1
Kendrick Lamar,Birds in the Trap Sing McKnight,1
Kanye West,Life’s a Gamble,1
Lil Wayne,Blame It On The Henny,1
Kanye West,The Black Album,1
Kanye West,Kamikaze,1
Lil Wayne,Thank Me Later,1
Lil Wayne,Frequent Flyers,1
Kendrick Lamar,Kiss the Ring,2
Kendrick Lamar,Let God Sort Em Out,1
Kendrick Lamar,XXL Freshmen Cyphers (2011–Present),1
Kendrick Lamar,Macadelic,1
Lil Wayne,Cherry Bomb + Instrumentals,1
Kanye West,Whole Lotta Red,1
Lil Wayne,Kitchen 24: Slangin Off Key,1
Lil Wayne,Urban Legend,1
Drake,EDNA (Deluxe),1
Drake,Excuse My French,1
Drake,BEYONCÉ (Platinum Edition),2
Drake,LeBron Flocka James 3,1
Kanye West,Boys Don’t Cry (Magazine),1
Lil Wayne,"Like Father, Like Son",4
Kendrick Lamar,Extinction Level Event 2: The Wrath of God (The Deluxe Edition),1
Lil Wayne,Chapter V,1
Lil Wayne,The Vault (Vinyl),1
Drake,Harder Than Ever,1
Kanye West,Tekashi 6ix9ine’s Greatest Hits,2
Dave,NO BULLSHIT,1
Lil Wayne,Indigo (Extended),1
Kendrick Lamar,HERBERT,1
Lil Wayne,Coloring Book,1
Kendrick Lamar,Destroy & Rebuild,1
Lil Wayne,Trap Starz Music 12,1
Lil Wayne,Idlewild,1
Drake,The Best in the World Pack,2
Lil Wayne,Hotel California,1
Kendrick Lamar,The Divine Feminine,1
Kanye West,So Help Me God!,1
Dave,OFF,4
Kanye West,Lupe Fiasco’s Food & Liquor (5th Anniversary Edition),1
Lil Wayne,Stay Trippy (Deluxe),1
Kendrick Lamar,Drunk,1
Dave,Sorry Im Late,1
Drake,Now or Never,1
Kanye West,Kiss of Death,1
Kendrick Lamar,Indicud,1
Kendrick Lamar,GH2: Life Ain’t Nuthin’ But...,1
Dave,Wayne’s World 2: Mixtape,1
Kendrick Lamar,Ransom 2,1
Lil Wayne,Trials & Tribulations,2
Drake,2021 GRAMMY® Nominees,1
Drake,DS2 (Deluxe),1
Lil Wayne,Tell Me You Love Me (Deluxe Edition),1
Drake,Codeine Pirates Vol 13,1
Drake,Kiss Land (Deluxe),1
Kendrick Lamar,Victory Lap,1
Drake,The New Wave 2,1
Kanye West,Thank Me Later,1
Dave,Wamp 2 Dem,1
Drake,ANTI,1
Lil Wayne,Breezy (Deluxe),1
Lil Wayne,2093 (P3),1
Lil Wayne,Supply & Demand,1
Kendrick Lamar,Quality Street Music,1
Kanye West,Cruel Winter,1
Lil Wayne,The One,1
Drake,Exis (Anniversary Edition),1
Drake,Port of Miami 2,1
Dave,Call of Duty 3,1
Kanye West,Kanye West’s Visionary Streams of Consciousness,1
Kendrick Lamar,2011's Freshman Class: The Mixtape,3
Kanye West,Thnks fr th Mmrs - Single,1
Drake,Trilogy,1
Kendrick Lamar,Pineapple Now-Laters,2
Kendrick Lamar,Black Friday,1
Drake,Codeine Pirates Vol. 14,1
Lil Wayne,JLOVE? (Deluxe Edition),1
Lil Wayne,SHiNE,1
Lil Wayne,I Changed a Lot,1
Kendrick Lamar,SOS Deluxe: LANA (Bonus Tracks),1
Drake,In Sexyy We Trust,1
Kendrick Lamar,All 6's And 7's,1
Dave,Music x Road,1
Drake,Lil Boat 3.5,1
Drake,Where Is Kidd Kidd?,1
Dave,black british music (2025),1
Lil Wayne,My Krazy Life,1
Lil Wayne,The Greatest Story Ever Told,1
Lil Wayne,Still Brazy,1
Lil Wayne,Thr33 Ringz,1
Drake,The 20/20 Experience: The Complete Experience,1
Lil Wayne,What the Game’s Been Missing: The Mixtape,1
Kanye West,King Push – Darkest Before Dawn: The Prelude,1
Kendrick Lamar,This Is Acting (Deluxe),1
Lil Wayne,Scorpion,1
Lil Wayne,The Drought is Over 4: Return to the Carter 3 Sessions,1
Kendrick Lamar,DIE FOR MY BITCH,1
Drake,Great Is He,1
Drake,Rise of an Empire,1
Lil Wayne,Monster,1
Drake,Dreamchasers 2,1
Kendrick Lamar,The Amazing Spider-Man 2 (Original Motion Picture Soundtrack) [Deluxe Edition],1
Lil Wayne,Beam Me Up Scotty (Streaming Version),1
Kendrick Lamar,My Krazy Life,1
Lil Wayne,One Man Band Man,1
Drake,Top Boy Season 3 (Official OVO Playlist),1
Kendrick Lamar,Detroit,1
Kendrick Lamar,Dreamchasers 2,1
Kendrick Lamar,Blurred Lines (Target Deluxe Edition) ,1
Dave,Poeta Herío (Colmadito Special Edition),1
Kendrick Lamar,Super Bowl Halftime Shows,2
Lil Wayne,The Last Don Dada,1
Lil Wayne,Dark Sky Paradise (Deluxe),1
Kanye West,The Diary Of Alicia Keys 20,1
Lil Wayne,Pink Friday 2 (Gag City PLUTO Edition),1
Kanye West,More Life,1
Lil Wayne,Flower Boy,1
Dave,Forbidden Frequencies,1
Drake,UTOPIA,2
Drake,High Off Life,1
Kanye West,SKINS,1
Kendrick Lamar,Lil Fats Presents Coast 2 Coast 224,1
Kendrick Lamar,Sleeping in Class,1
Kanye West,King or the Fool: An Opera Volume I,1
Lil Wayne,The R.E.D. Album,2
Lil Wayne,Dangerous Woman (Japanese Import),1
Kanye West,The Blueprint 3,3
Kendrick Lamar,Z,1
Drake,PARTYNEXTDOOR TWO,1
Kanye West,Fan of a Fan,1
Kanye West,4 (Deluxe Edition),1
Drake,WASTELAND,1
Lil Wayne,Hit Me When U Leave The Klub: The Playlist,1
Lil Wayne,CALL ME IF YOU GET LOST: The Estate Sale,1
Drake,WHAT HAPPENED TO THE STREETS?,1
Lil Wayne,Free Gucci: The Release (Deluxe Edition),1
Lil Wayne,The W. Carter Collection 2 ,1
Lil Wayne,Destiny Fulfilled,1
Kendrick Lamar,Detox,1
Kanye West,So Far Gone,1
Dave,Conflict of Interest,1
Kanye West,Jesus Piece (Deluxe),1
Kendrick Lamar,Take Care,1
Drake,MONTANA,2
Kanye West,Sean Don,1
Lil Wayne,Code Red,1
Lil Wayne,11:11 (Deluxe),1
Lil Wayne,Mastermind,1
Lil Wayne,CHROMAKOPIA + (Plus),1
Drake,PARTYNEXTDOOR,1
Lil Wayne,The Leak 3,1
Kanye West,I AM... SASHA FIERCE (Platinum Edition),1
Lil Wayne,Detroit 2 (Deluxe),1
Drake,Smokers Choice,1
Kanye West,Exclusive (The Forever Edition),1
Kendrick Lamar,DIE FOR MY BITCH (Napster Version),1
Drake,Still Brazy,1
Lil Wayne,Back on My Shit,2
Kanye West,Jesus Is Born,2
Kanye West,Wave Gods,1
Kanye West,Mastermind,1
Drake,PARTYMOBILE (Chopped Not Slopped),1
Kanye West,Man on the Moon II: The Legend of Mr. Rager,1
Drake,Championships,1
Drake,#WeAreTheWest,1
Kanye West,Cole World: The Sideline Story,1
Kanye West,Classic (Better Than I’ve Ever Been) ,1
Lil Wayne,SQ7,1
Drake,4Milli,1
Kanye West,Verzuz: Gucci Mane x Jeezy (Live),1
Lil Wayne,Relapse: Refill,1
Lil Wayne,Hall of Fame (Deluxe),1
Drake,The Life of Pablo,1
Drake,A N N I V E R S A R Y (Deluxe),1
Kendrick Lamar,That’s Me Right There EP,1
Lil Wayne,Rise of an Empire,2
Drake,Dear America,1
Lil Wayne,Mind of Mine (Bonus Edition),1
Kanye West,Til the Casket Drops,1
Lil Wayne,I’m a Hustla,1
Lil Wayne,Essentials,2
Kanye West,Superman (Unofficial),1
Drake,Grateful,1
Lil Wayne,From a Birds Eye View,1
Drake,The Truth Hurts,1
Kanye West,VULTURES 3,1
Drake,I Am Music,1
Drake,2093 (P3),1
Drake,#TheOtherGuys11,1
Kendrick Lamar,Video Breakdowns,1
Drake,"Passion, Pain & Pleasure",1
Lil Wayne,Let Me Fly (Deluxe),1
Kanye West,While the World Was Burning,2
Kanye West,Shine,1
Kanye West,ASTROWORLD,1
Lil Wayne,The Best Out Mixtape Vol. 2,1
Drake,Afrobeats Cool & Hot,1
Kendrick Lamar,Megalithic Symphony (10th Anniversary Deluxe Edition) ,1
Drake,Trill OG,1
Drake,Loud (Japan Edition),1
Kanye West,The Documentary 2 + 2.5 (Collector’s Edition),1
Lil Wayne,Carol City King 2K11,1
Kanye West,TYCOON (Deluxe),1
Kanye West,Set The Tone (Guns & Roses),1
Drake,Sounds from the Other Side,1
Lil Wayne,Victory (Japanese Edition),1
Kendrick Lamar,The R.E.D. Album,1
Kendrick Lamar,Tha Carter V (Deluxe),1
Kendrick Lamar,70 Hits Rentrée 2025,1
Lil Wayne,Screens on Lock 4,1
Drake,A Muse In Her Feelings (Instrumentals),1
Kendrick Lamar,The Highlights (Deluxe),1
Drake,The Documentary 2 + 2.5 (Collector’s Edition),1
Kendrick Lamar,Trappin’ Ain’t Dead,1
Drake,Get Weird (Japan Version),1
Drake,Edgewood (41E Edition),1
Drake,Punk,1
Drake,Major Key ,1
Lil Wayne,In the City ,1
Kanye West,Take ’Em to the Cleaners,1
Drake,Intuition,1
Lil Wayne,400 Degreez,1
Kanye West,Deeper Than Rap,1
Drake,Keep God First 2,1
Drake,My Life II... The Journey Continues (Act 1),1
Kanye West,Verzuz: Rick Ross x 2 Chainz ,2
Lil Wayne,Come Home The Kids Miss You,1
Kanye West,SERIOUS JAPANESE,1
Kanye West,Best of Dilated Peoples,1
Kendrick Lamar,Setbacks,1
Drake,"C,XOXO",1
Kendrick Lamar,Forza Horizon 4 Official Soundtrack (Horizon Block Party),1
Drake,The Young OG Project,1
Lil Wayne,Here I Stand (Japan Edition),1
Kanye West,BET Hip Hop Awards Cyphers (2006–Present),1
Lil Wayne,Beach House 3 (Deluxe),1
Drake,SIMI,1
Lil Wayne,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE [METROVERSE INSTRUMENTAL EDITION]),1
Drake,Dedication 6: Reloaded,1
Kanye West,Honest (Deluxe),1
Kendrick Lamar,Youngest Head Nigga in Charge (Hub City Threat: Minor of the Year),1
Lil Wayne,Street Love,1
Lil Wayne,Cottonwood 2 (Sped Up),1
Drake,No Ceilings 3,1
Kendrick Lamar,Atrocity Exhibition,1
Drake,Honest (Deluxe),1
Kendrick Lamar,Starboy (Deluxe),1
Kendrick Lamar,April Foolin 2,1
Lil Wayne,Etherboy,1
Drake,Project E.T. (Esco Terrestrial),1
Kanye West,UTOPIA,2
Lil Wayne,Bad Vibes Forever,1
Lil Wayne,Follow Me Home,1
Lil Wayne,If You’re Reading This It’s Too Late,1
Lil Wayne,A Gangsta’s Pain: Reloaded,1
Lil Wayne,Curtain Call 2,1
Drake,QUAVO HUNCHO,1
Lil Wayne,Grateful [Japanese Edition],1
Drake,Ready,1
Lil Wayne,Hitler Wears Hermes 8: Sincerely Adolf (Full Album),1
Kendrick Lamar,First Ya Gotta Shake the Gate,1
Lil Wayne,Graffiti ,1
Drake,Pluto 3D,1
Kanye West,Street Runnaz 66,1
Kanye West,Can’t Tell Me Nothing,2
Drake,ORA (Japan Version),1
Lil Wayne,Trilla,1
Lil Wayne,The Real Is Back,1
Lil Wayne,Tha Fix Before Tha VI (Bonus),1
Kendrick Lamar,Long Term 2: Lifestyles of the Broke and Almost Famous,1
Kanye West,Dat Kid From Cleveland,1
Drake,"Fórmula, Vol. 2 (Deluxe Edition)",1
Lil Wayne,Lessons in Love,1
Lil Wayne,The Bling Ring (Original Motion Picture Soundtrack),1
Lil Wayne,Fast Money,1
Lil Wayne,Slime Season,1
Drake,Beautiful and Brutal Yard,1
Lil Wayne,100% Juice,1
Kanye West,Chicken-n-Beer,1
Kendrick Lamar,The Marshall Mathers LP 2 (Expanded Edition),1
Kanye West,Seeing Sounds,1
Lil Wayne,Based on a T.R.U. Story,1
Lil Wayne,Well Done 4,1
Kanye West,Magna Carta... Holy Grail,1
Dave,JAE51*,1
Lil Wayne,The Black Bar Mitzvah,1
Kanye West,Ne-Yo: The Collection,1
Lil Wayne,Port of Miami 2,1
Dave,"Stone Island Selected Works: KITTYSAYWORD, Feb 28, 2024, Pt. 1 (DJ Mix)",1
Drake,Slime Language 2 (Deluxe),1
Drake,Quality Street Music,1
Kendrick Lamar,Zero Heroes,1
Kanye West,Views,1
Kendrick Lamar,Sailing Soul(s),1
Lil Wayne,Ransom,1
Lil Wayne,So Seductive 11,1
Lil Wayne,Here I Am (International Bonus Track Edition),1
Kendrick Lamar,The Documentary 2 + 2.5 (Collector’s Edition),1
Kendrick Lamar,Habits & Contradictions,1
Drake,The R.E.D. Album,1
Drake,Culture II ,1
Drake,The Element of Freedom (Empire Edition),1
Kanye West,Diamonds - [CDr Maxi-Single Promo],1
Drake,Indigo (Extended),1
Lil Wayne,B.O.A.T.S. II: Me Time,1
Kendrick Lamar,Free TC (Deluxe Edition),1
Lil Wayne,Thats What They All Say,1
Lil Wayne,The Crossroads,1
Kanye West,Kiss the Ring,1
Drake,Gunna: A Gift & A Curse Setlist,1
Lil Wayne,Late Nights With Jeremih (Re-Release),1
Lil Wayne,10 Summers,1
Lil Wayne,Major Key ,1
Lil Wayne,Ether,1
Lil Wayne,Tha Carter III,1
Kendrick Lamar,BUSH,1
Kendrick Lamar,Feelin’ Vol. 7,1
Kanye West,Lost Souls,1
Kendrick Lamar,Locke High 2,1
Kendrick Lamar,The Sun’s Tirade,1
Lil Wayne,Dawn FM (Alternate World) [Digital Edition],1
Lil Wayne,VULTURES 2 (Digital Deluxe),1
Kendrick Lamar,Rap or Go to the League,1
Kendrick Lamar,Sunday Service,1
Kendrick Lamar,30 Day Takeover,1
Kanye West,Hollywood’s Bleeding,1
Lil Wayne,Anarchy 2,1
Kanye West,Listennn... the Album,1
Drake,Tim Westwood I Freestyles,1
Kanye West,In My Mind,1
Lil Wayne,! (Exclamation Mark),1
Lil Wayne,Blood Moon: Year of the Wolf,1
Kanye West,This is War (Deluxe),1
Dave,Donut Flow,1
Kendrick Lamar,Red Pill Blues (Japan Deluxe),1
Lil Wayne,Appreciation 8,1
Drake,No Sleep,1
Kanye West,Confessions (20th Anniversary Edition),1
Dave,23,1
Lil Wayne,The Soul Tape,1
Drake,The Blueprint 3,1
Drake,Best Night of My Life,1
Drake,The Green Files,1
Lil Wayne,All or Nothing (International Edition),1
Lil Wayne,Harverd Dropout,1
Lil Wayne,Honest (Deluxe),1
Lil Wayne,Comeback Season,1
Drake,Trap Starz Music 13,1
Lil Wayne,Freedom,1
Drake,Dedication 3,1
Kanye West,NBA 2K13 Soundtrack,1
Lil Wayne,Distant Relatives,1
Drake,My Beautiful Dark Twisted Fantasy,1
Kanye West,Fear of God II: Let Us Pray,1
Kanye West,DRILLMATIC Heart vs. Mind,1
Kanye West,"The West Coast Saviour, Pt. 1 (Unofficial)",1
Kanye West,No Dope on Sundays,1
Kanye West,More than a Game: Music Inspired by the Film ,1
Kendrick Lamar,Trap Music: Cold Summer Edition,1
Kanye West,JUICED UP THE EP,1
Lil Wayne,Chris Brown,1
Kanye West,I NEVER LIKED YOU (EXTENDED),1
Lil Wayne,NBA 2K24 Soundtrack,1
Dave,12 Questions,1
Kanye West,Paper Trail,1
Lil Wayne,So Far Gone (EP),1
Kanye West,Coloring Book,1
Dave,Today’s Hits: October 2023 (DJ Mix),1
Lil Wayne,"LABRINTH, SIA & DIPLO PRESENT… LSD (Japan Edition)",1
Drake,Tha Carter V (Deluxe),1
Dave,PTSD,1
Kanye West,No Mercy (Deluxe Version),1
